ageb,POBTOT,x,y,n_denue,lon,lat
3628,1158,495958.8794048379,2144074.5563579355,5.0,-99.038486229302,19.39084137827443
3632,6682,487968.61922422,2142694.736772231,120.0,-99.11457389533682,19.37833952492622
3647,2443,487915.3430477768,2142163.5377312223,81.0,-99.11507786867166,19.37353860093068
3651,2692,491569.94764003466,2141226.6145115835,158.0,-99.0802722606819,19.3650900099319
3666,1770,491950.06798571703,2141027.3929438866,21.0,-99.07665185701212,19.363291140881344
3670,4143,492396.72028949,2140704.7329506627,80.0,-99.07239752686468,19.360376899206333
369A,2858,500027.1716255474,2141762.044224136,84.0,-98.99974125985486,19.36994655789242
3702,2668,500068.84478548495,2141465.0522527564,71.0,-98.99934444046534,19.367262544457162
3717,2261,500234.9086195301,2141428.212257072,88.0,-98.99776313817364,19.36692959689164
3721,4549,493426.80005562934,2140849.9081369955,94.0,-99.06258973491413,19.36169252992723
3740,4482,489561.09098426095,2140024.92507716,259.0,-99.09939430440537,19.35422052108371
3755,3456,489956.7011580152,2139609.8633714393,45.0,-99.0956253116106,19.350471489365674
376A,1613,490532.7085617388,2140376.6077988828,116.0,-99.09014478108837,19.35740360528411
3774,3474,490754.3976492136,2140040.2132083992,133.0,-99.08803229318549,19.354364530573314
3789,3719,489376.2832537298,2139574.7491939273,59.0,-99.10115144571301,19.350151166468056
3793,4417,489593.4612377114,2139638.0241526943,198.0,-99.09908397954771,19.350724139367983
3806,2080,488956.445060575,2138778.822154624,135.0,-99.10514423321496,19.342955848022516
3810,5245,488916.94742232875,2138627.981844913,81.0,-99.10551940854971,19.341592436421305
3825,3400,489333.71130464756,2138477.287883536,130.0,-99.10155064997808,19.34023281857118
383A,3575,493012.4270908416,2139008.637466545,187.0,-99.0665286286078,19.345050956229
3844,1550,493301.70548870007,2138859.1440751352,23.0,-99.06377388769789,19.343700918125954
3859,2090,494901.47128265124,2138011.4829437626,115.0,-99.04854039514561,19.33604500291654
3863,4153,495146.46585717023,2138421.9722145433,326.0,-99.04620897566049,19.339755344572925
3897,3937,492324.23703235865,2135720.464452468,265.0,-99.07306766167191,19.31533206301486
390A,4006,491970.8678183655,2135647.1020886293,254.0,-99.07643116839053,19.314667682223096
3914,5355,491754.3498968562,2135281.4690955887,81.0,-99.07849067426379,19.311362446667143
3967,3638,490509.44837708294,2139731.7137489277,63.0,-99.0903630480465,19.351575377816527
3971,4809,491072.48295229784,2139680.334015657,67.0,-99.0850019518908,19.351113622502556
3986,2232,491435.3023925085,2138312.191233886,10.0,-99.08154128511094,19.338750833583802
3990,3618,491290.9793864988,2138243.8322640075,102.0,-99.08291501756995,19.33813243021046
401A,2883,489273.22292211937,2137980.737293107,48.0,-99.1021237514108,19.33574500070647
4024,8391,489700.14281634137,2138235.5460921237,187.0,-99.09806066093547,19.338050026446176
4039,5385,494323.36336954427,2137842.258721292,146.0,-99.05404374993007,19.334514115378806
