ageb,POBTOT,x,y,n_denue,lon,lat,dist_hosp_m,dist_salud_m,hosp_caminando_min,hosp_auto_min,salud_caminando_min,salud_auto_min
0962,8084,489076.4534796191,2140516.086136108,248.0,-99.10401159949949,19.35865672443312,557.7585541353294,390.00125203868083,7.436780721804392,1.6732756624059884,5.2000166938490775,1.1700037561160426
0977,7001,489871.9712612343,2140676.413330185,436.0,-99.09643771478969,19.36010982118392,1575.5245813149677,238.36994430870786,21.0069944175329,4.726573743944903,3.1782659241161046,0.7151098329261236
0981,6435,490601.9321699308,2140638.8426104365,640.0,-99.0894869474329,19.359773830785723,862.3648073260042,114.88588995480228,11.49819743101339,2.587094421978013,1.5318118660640303,0.3446576698644069
1000,5229,492586.4095400943,2140543.396374623,240.0,-99.07059070194752,19.35891955723382,237.83922373721256,237.83922373721256,3.171189649829501,0.7135176712116378,3.171189649829501,0.7135176712116378
1015,6358,493022.8755723944,2140397.427521221,333.0,-99.0664342290257,19.3576019524381,451.4950225393947,245.337772568445,6.019933633858596,1.354485067618184,3.2711703009126,0.736013317705335
1034,6566,493690.4861582733,2140456.025461939,237.0,-99.06007762425062,19.358133729185045,850.5237079123738,336.86129044691677,11.340316105498317,2.5515711237371215,4.491483872625557,1.0105838713407505
1049,4690,494200.3545894103,2140653.979707025,134.0,-99.05522338760171,19.35992424354537,373.2653731245266,373.2653731245266,4.976871641660355,1.11979611937358,4.976871641660355,1.11979611937358
1053,7253,494225.27868298953,2140150.5881698965,218.0,-99.05498453936652,19.35537499997079,363.8312280079557,195.56049529415085,4.851083040106076,1.0914936840238672,2.607473270588678,0.5866814858824526
1087,5902,495980.9467513351,2140797.5406693257,254.0,-99.03826915181624,19.361226003455364,2186.6438054444097,496.8635238905184,29.155250739258797,6.55993141633323,6.624846985206912,1.4905905716715553
1091,4232,496647.8100572087,2140603.9145469028,318.0,-99.03191898506256,19.359477364072276,1592.2234785448265,500.4757521114673,21.229646380597686,4.77667043563448,6.673010028152897,1.501427256334402
1104,6367,497354.40178009256,2140292.6201264327,478.0,-99.0251905068934,19.35666514777819,1264.5950355504187,599.2433225730241,16.86126714067225,3.7937851066512565,7.989910967640322,1.7977299677190723
1123,3739,498760.4695113222,2140329.6643148395,77.0,-99.0118024217255,19.3570012881582,187.11009216151467,187.11009216151467,2.4948012288201955,0.561330276484544,2.4948012288201955,0.561330276484544
1138,4768,499558.8315243665,2140628.459122247,356.0,-99.00420073744722,19.359701930414136,586.1050794733909,416.1393635838468,7.814734392978545,1.7583152384201728,5.548524847784623,1.2484180907515403
1142,3200,500251.2616093292,2140964.297111511,82.0,-98.99760748185712,19.362737042063696,376.25678763611376,228.4154590478363,5.016757168481517,1.1287703629083414,3.0455394539711507,0.6852463771435089
1157,2662,500494.89068084926,2140912.649255825,144.0,-98.99528765430878,19.36227023812692,216.26831026977482,131.55473310265432,2.8835774702636643,0.6488049308093244,1.754063108035391,0.394664199307963
1176,2180,487465.8011364177,2140061.250038517,145.0,-99.11934486257243,19.354536822316444,1047.6159064616647,1037.7073831335997,13.96821208615553,3.1428477193849944,13.83609844178133,3.1131221494007995
1180,2051,488079.082592488,2139960.035291123,246.0,-99.11350485533865,19.35362584472127,935.8023711155054,575.524667692742,12.477364948206738,2.807407113346516,7.673662235903227,1.7265740030782262
1195,3664,488536.9208959465,2139802.7809219486,330.0,-99.10914461487114,19.352207350541683,643.0018171228355,330.22883685367555,8.573357561637806,1.9290054513685067,4.403051158049007,0.9906865105610267
1208,991,488946.1944131797,2139921.649675611,252.0,-99.10524845002968,19.353283899070185,513.7114637973883,468.168652672508,6.849486183965178,1.5411343913921651,6.242248702300107,1.404505958017524
1227,5183,489999.5258881344,2140108.581056727,234.0,-99.09522017980764,19.35497877744709,1384.0220041888,348.99910484393007,18.453626722517335,4.152066012566401,4.6533213979190675,1.0469973145317903
1246,4327,492293.7078664351,2139832.1371624046,488.0,-99.0733748716188,19.352490572392107,520.4546809974199,182.56727711320548,6.9393957466322655,1.56136404299226,2.4342303615094063,0.5477018313396165
1250,3051,492685.21441880846,2139895.448970116,122.0,-99.06964741683107,19.35306420560244,942.3712586677966,554.2422638172764,12.564950115570621,2.82711377600339,7.389896850897018,1.6627267914518291
1265,3915,493173.2117757339,2139897.7117594774,173.0,-99.06500098135297,19.35308637247318,1082.4878585582128,439.74061376320964,14.433171447442838,3.2474635756746384,5.863208183509462,1.319221841289629
