ageb,POBTOT,x,y,n_denue,lon,lat,dist_hosp_pub_m,dist_hosp_priv_m,pub_caminando_min,pub_auto_min,priv_caminando_min,hosp_mas_cercano,penaliza_publico_m
0680,3125,487618.1369234805,2141372.55954571,143.0,-99.11790291121976,19.36638848013015,2053.4930867979474,836.6142444687354,27.379907823972633,6.160479260393843,11.154856592916472,Privado,1216.8788423292121
0695,3633,487875.5273244513,2141331.175438022,131.0,-99.11545172181437,19.36601605003781,1789.8450346524164,1026.7150795523244,23.864600462032218,5.36953510395725,13.689534394030991,Privado,763.129955100092
0708,4420,488175.2189791631,2141292.3793861982,235.0,-99.11259775966752,19.36566722549517,1531.6385346312331,1330.5042917431851,20.42184712841644,4.5949156038937,17.74005722324247,Privado,201.134242888048
0727,2181,488642.13050422544,2140869.5457324577,263.0,-99.1081492276218,19.36184864135601,806.9470488020186,1800.6720004389942,10.759293984026915,2.420841146406056,24.008960005853258,Publico,0.0
0731,11610,489450.2859216417,2141191.127666555,425.0,-99.10045578977154,19.364759286317465,1530.406810277886,2887.2346954033746,20.40542413703848,4.591220430833658,38.496462605378326,Publico,0.0
0746,7993,490185.5335335248,2140784.4647610164,652.0,-99.09345257671356,19.361087873129875,1398.585750967039,2978.8421632442555,18.647810012893853,4.195757252901117,39.71789550992341,Publico,0.0
0750,9308,490720.69692382537,2141256.099141797,237.0,-99.08835909392316,19.36535272679479,1490.558365101223,3903.101693396978,19.874111534682974,4.471675095303669,52.041355911959705,Publico,0.0
0765,3454,497263.5269559504,2141542.087289654,71.0,-99.02605758054774,19.367956871274767,2170.9380105584223,2799.05947817788,28.945840140778966,6.512814031675267,37.32079304237173,Publico,0.0
077A,4047,497463.4552051061,2141350.8083266383,165.0,-99.02415354465904,19.36622848388468,1812.0927737969298,2609.3320496899064,24.161236983959064,5.43627832139079,34.79109399586542,Publico,0.0
0784,6393,498409.4150528315,2141462.8010149314,437.0,-99.01514599802384,19.36724157040602,1493.626019316905,2641.951231584944,19.915013590892066,4.480878057950715,35.226016421132584,Publico,0.0
0801,3649,485721.6923978804,2140781.11198162,177.0,-99.13595682026232,19.36103079878935,3976.801184992744,1997.7674343147173,53.02401579990325,11.930403554978232,26.63689912419623,Privado,1979.0337506780265
